condition,realization,receive_channel,component,stable_seed_uint64,harmonic_order_max,harmonic_amplitudes,harmonic1_random_phase_rad,harmonic2_random_phase_rad,harmonic3_random_phase_rad,random_phase_distribution,affine_removed_degree,fitted_constant_beta0,fitted_linear_beta1,residual_peak_before_unit_normalization,target_peak_absolute_bound,formal_response_max_abs_reproduction_error,session_scope
cal_0p5db_5deg,draw0,phi,gain_db,3126790232161956388,3,1;0.55;0.25,-2.071543591630549,-1.9022040277768415,-1.8530183809088399,"independent Uniform(-pi, pi)",1,0.006563317785168652,-0.7643949154765184,1.7220258562073965,0.5,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw0,phi,phase_deg,8373056875060681665,3,1;0.55;0.25,2.1134018784687285,-2.677397756196052,-2.955444984637968,"independent Uniform(-pi, pi)",1,-0.011608068243029726,-0.6508962838773384,1.604686998219556,5.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw0,theta,gain_db,240139625758424397,3,1;0.55;0.25,2.5635775198677475,-2.073079559960928,-0.3045682687859208,"independent Uniform(-pi, pi)",1,-0.010477575337420914,-1.1564030675742993,1.5319625928767313,0.5,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw0,theta,phase_deg,13188626675490270770,3,1;0.55;0.25,-2.719151356306554,-0.9573521881771994,2.9744729221561013,"independent Uniform(-pi, pi)",1,-0.0008935817286805626,-2.128027247580175,1.1444359793713388,5.0,4.440892098500626e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw1,phi,gain_db,10584249295781386766,3,1;0.55;0.25,2.978484782476108,-1.3453165585753095,-0.9390189535553475,"independent Uniform(-pi, pi)",1,-0.005458446784131192,-1.8453602320823244,1.4139403266129653,0.5,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw1,phi,phase_deg,13233205484456912988,3,1;0.55;0.25,3.1284624064829325,1.0083965333336975,0.6046922966808959,"independent Uniform(-pi, pi)",1,0.0034069313622472155,-1.9911968943347784,1.3022222697696388,5.0,8.881784197001252e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw1,theta,gain_db,7219281068549382655,3,1;0.55;0.25,3.119798522506062,-1.7737105352569325,-2.4301001718081143,"independent Uniform(-pi, pi)",1,-0.0043655723469616745,-1.860581521764368,1.3231922721087344,0.5,1.1102230246251565e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw1,theta,phase_deg,17944778069179964652,3,1;0.55;0.25,2.1983055219403607,1.15280742326184,2.024098363160764,"independent Uniform(-pi, pi)",1,-0.005841703291080456,-1.3575865254501183,1.5485229567756802,5.0,8.881784197001252e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw2,phi,gain_db,11769594377090140799,3,1;0.55;0.25,-0.26486262475793776,-1.974505972465678,-1.5635124310977977,"independent Uniform(-pi, pi)",1,6.576399314960922e-05,1.9830590479867145,1.0221975749793322,0.5,5.551115123125783e-17,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
cal_0p5db_5deg,draw2,phi,phase_deg,8980129902244868854,3,1;0.55;0.25,0.6111030038105487,-2.233235126074226,0.6906057781537922,"independent Uniform(-pi, pi)",1,-0.01282081639297254,1.943060150845821,2.125403550790449,5.0,8.881784197001252e-16,"fixed for this condition/draw/channel across all samples, objects, folds, representations, and checkpoint seeds"
